arm,neg_target,pick,normal_protocol,calibration_regime,guarantee_scope,alpha,n_calibration,n_model_seeds,split_repeats_per_model,tau_mean,tau_std,tau_ci95_low,tau_ci95_high,normal_FAR_mean,normal_FAR_std,normal_FAR_ci95_low,normal_FAR_ci95_high,mixed_coverage_mean,mixed_coverage_std,mixed_coverage_ci95_low,mixed_coverage_ci95_high,mixed_bitF1_all_mean,mixed_bitF1_all_std,mixed_bitF1_all_ci95_low,mixed_bitF1_all_ci95_high,mixed_bitF1_accepted_mean,mixed_bitF1_accepted_std,mixed_bitF1_accepted_ci95_low,mixed_bitF1_accepted_ci95_high,mixed_FAR_mean,mixed_FAR_std,mixed_FAR_ci95_low,mixed_FAR_ci95_high,normal_FAR_minus_alpha
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.01,200,5,50,0.8564901797771454,0.08472366529843074,0.7838437163829803,0.9169882278442383,0.010315000000000001,0.0004964247173540016,0.009929999999999998,0.01073,0.22208,0.13907725727970205,0.11773813333333336,0.3366005333333333,0.1505227076633902,0.08261458241281566,0.08846420319753126,0.21820709402894428,0.5178002932539971,0.04187119192883659,0.4805939119972667,0.5421020338516132,0.0003634672899545101,0.00044341662357154295,3.6894619115836034e-05,0.0007214556787051698,0.00031500000000000104
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.01,500,5,50,0.8545994265079498,0.0853635248430077,0.7831752460002899,0.9162903344631195,0.010263999999999999,0.000785162403582851,0.009736,0.010927999999999998,0.22598986666666665,0.1407086644780626,0.11831493333333334,0.33769439999999995,0.15306332473742987,0.08372825920957518,0.08894584931401281,0.21958758833611342,0.5164870704409573,0.04371330816405414,0.4773192056111384,0.5417348710770343,0.00035708361607479454,0.00043421769853359027,3.448189198019553e-05,0.000700796702606248,0.0002639999999999986
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.02,100,5,50,0.8329479813575744,0.09979763503925268,0.7513098204135894,0.9061512217521667,0.019795555555555556,0.0017112842625234689,0.01831111111111111,0.021137777777777776,0.2689437333333333,0.1765982449123811,0.13379813333333332,0.4063442666666667,0.17347870696217912,0.09707580754288236,0.09918331206109432,0.24988071997419375,0.511491693818791,0.04228436648694343,0.4730832947831134,0.536832380975544,0.0006624946593279549,0.0008356110046242462,5.790545125537209e-05,0.0013592198848928097,-0.0002044444444444446
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.02,200,5,50,0.8282960710525511,0.10364441084903858,0.7447125239372253,0.9045934567451477,0.020065,0.0014272569845686504,0.018930000000000002,0.02122024999999998,0.2791749333333333,0.1867842565490405,0.13650933333333334,0.42395253333333327,0.17887870775900677,0.10150798249921789,0.10116608268088063,0.258549792026135,0.5097082425864756,0.04392387190532683,0.4697054146588135,0.5365317150303691,0.0006816959461157606,0.0008582472132578713,5.81065118500088e-05,0.00138852446656111,6.499999999999909e-05
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.02,500,5,50,0.8246858456134796,0.10609641846701443,0.738861207485199,0.9027811098098756,0.020607999999999998,0.0012274852341270747,0.019815999999999997,0.021688000000000002,0.28695013333333336,0.19375822253886987,0.13907200000000003,0.43723653333333334,0.18276620755094206,0.1043078031802905,0.1029506845710938,0.2645703680924246,0.508595102432611,0.044514217870383725,0.46942145244679273,0.5363150164919815,0.0007088893915403755,0.0008921022700510685,5.946367086380658e-05,0.0014398451833421298,0.0006079999999999974
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.05,100,5,50,0.7914121065139771,0.12365444088196181,0.6984050502777099,0.8836735470294952,0.04917777777777778,0.0008456132262417965,0.048524444444444446,0.04978666666666667,0.3459458666666667,0.23199761696017485,0.16859306666666668,0.5232986666666667,0.2109113321277159,0.11602816562124776,0.12176268722320915,0.30005997703222265,0.5038647364840261,0.04086713009192458,0.4674047928349879,0.5311338311967491,0.0012976450777853177,0.0017700519659122993,0.00011359923596974038,0.0028716479428987913,-0.0008222222222222242
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.05,200,5,50,0.7887095401287079,0.1252984138062737,0.6951254096031189,0.8821302607059479,0.050025,0.0012080459428349584,0.04919,0.05103500000000001,0.3507138666666667,0.23565949741966458,0.17063440000000002,0.5307933333333335,0.21312775156905378,0.11709310995772729,0.12315199500779025,0.30310350813031733,0.5038643079973664,0.04087892150080234,0.46725909076357713,0.5315412591804005,0.0013497700369448844,0.0018575207495779556,0.00011425268290230967,0.003007313579129911,2.4999999999997247e-05
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.05,500,5,50,0.787099975347519,0.12680849305832687,0.6926275062561035,0.8815724444389342,0.050232,0.0017671219539126311,0.04892,0.051568,0.3536314666666667,0.2385783345134256,0.171112,0.5361509333333334,0.214383950690677,0.11808849426281827,0.12347636886688865,0.30529153251446545,0.503915260665336,0.04059660552784934,0.46765050049046486,0.5314442062064102,0.0013890773831963608,0.0019304108169452305,0.00011611249340269923,0.00311850008796401,0.0002319999999999961
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.1,100,5,50,0.7602633364200593,0.13747703267746778,0.6579513864517212,0.8625752863883973,0.09920444444444446,0.005880568545621512,0.09472,0.1039111111111111,0.3950858666666667,0.25639372421787376,0.1994032,0.5907685333333333,0.23580022330564301,0.12408506637724859,0.14065956101628474,0.3318986616455156,0.501310715188638,0.03451420103759944,0.4721267594332339,0.5239891540511715,0.0019151021639146498,0.002632864310108606,0.0001742692704013672,0.0042664555530422974,-0.0007955555555555494
fcm_pm_pm,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.1,200,5,50,0.7600358564853668,0.1375388348142057,0.6575911321640014,0.8624724993705749,0.09786500000000001,0.0035861539286539267,0.095275,0.100855,0.3958018666666666,0.2572508338180634,0.19951760000000002,0.5920861333333333,0.23616072959605283,0.12454095560346269,0.14075573988636786,0.3331259347160704,0.500884622890504,0.03452974150100446,0.4717771919479275,0.5238232046280598,0.0019025861418985146,0.0025964368356432674,0.00017240945990097765,0.00421262157882832,-0.002134999999999998
