tag,arm,cell_layout,grid,n_groups,neg_target,seed,real_bitF1,normal_FAR,best_ep,bitF1_farq01,bitF1_farq05,bitF1_farq10
fcmpm_cb_g3_grid15_neg0.20,fcm_pm,checkerboard,15,3,0.2,0,0.7426033812135476,0.098,20,0.7196890878618077,0.7380685594430169,0.7430077273777148
fcmpm_cb_g3_grid15_neg0.20,fcm_pm,checkerboard,15,3,0.2,1,0.7413262407741468,0.09,25,0.6830737202910709,0.7287500259447524,0.7441497105223478
fcmpm_cb_g3_grid15_neg0.20,fcm_pm,checkerboard,15,3,0.2,2,0.7748647793758531,0.05,25,0.7524803489345588,0.7748647793758531,0.7836900805065191
fcmpm_cb_g4_grid8_neg0.05,fcm_pm,checkerboard,8,4,0.05,0,0.7668653429183797,0.13,22,0.7286027371654865,0.7542644989374906,0.7638169420752994
fcmpm_cb_g4_grid8_neg0.05,fcm_pm,checkerboard,8,4,0.05,1,0.7548191416686968,0.206,24,0.6976540078460157,0.72718984515544,0.7432688082825148
fcmpm_cb_g4_grid8_neg0.05,fcm_pm,checkerboard,8,4,0.05,2,0.747072405630591,0.002,25,0.7675364228674736,0.7759700492490458,0.7786708110543219
fcmpm_cb_g4_grid8_neg0.10,fcm_pm,checkerboard,8,4,0.1,0,0.7714820354319786,0.091,22,0.7332723290581672,0.760567706389165,0.7724424655796579
fcmpm_cb_g4_grid8_neg0.10,fcm_pm,checkerboard,8,4,0.1,1,0.7715263183716647,0.203,24,0.7095031156947171,0.7411749834184863,0.7554125287229012
fcmpm_cb_g4_grid8_neg0.10,fcm_pm,checkerboard,8,4,0.1,2,0.7456794485451496,0.006,25,0.7588295243480045,0.770529476535971,0.7766841463859401
fcmpm_cb_g4_grid8_neg0.20,fcm_pm,checkerboard,8,4,0.2,0,0.7925039211630295,0.046,25,0.7810412957135356,0.7926149670496713,0.7970075940430341
fcmpm_cb_g4_grid8_neg0.20,fcm_pm,checkerboard,8,4,0.2,1,0.7567698593521025,0.67,24,0.6495917033009962,0.6909554744164844,0.7056902164775641
fcmpm_cb_g4_grid8_neg0.20,fcm_pm,checkerboard,8,4,0.2,2,0.7591680536502933,0.0,25,0.7781892911647583,0.7899402386800846,0.7923373129868571
fcmpm_cb_g4_grid12_neg0.05,fcm_pm,checkerboard,12,4,0.05,0,0.7507113918674863,0.224,23,0.6759696292113629,0.7080874886336916,0.7252475227382695
fcmpm_cb_g4_grid12_neg0.05,fcm_pm,checkerboard,12,4,0.05,1,0.7153356942331631,0.103,24,0.6531319887495636,0.6985719076591885,0.7141613109370349
fcmpm_cb_g4_grid12_neg0.05,fcm_pm,checkerboard,12,4,0.05,2,0.7243316134483012,0.007,23,0.7332531773311973,0.7587509009273258,0.7627143308276728
fcmpm_cb_g4_grid12_neg0.10,fcm_pm,checkerboard,12,4,0.1,0,0.7748313393513655,0.136,22,0.7201146312686579,0.7563266418255856,0.7683498681931681
fcmpm_cb_g4_grid12_neg0.10,fcm_pm,checkerboard,12,4,0.1,1,0.7497713970634167,0.002,24,0.7654768779165954,0.7739812920143736,0.7730222875894385
fcmpm_cb_g4_grid12_neg0.10,fcm_pm,checkerboard,12,4,0.1,2,0.7394729366288617,0.005,25,0.7472787257762753,0.7568609599692414,0.7614786825683203
fcmpm_cb_g4_grid12_neg0.20,fcm_pm,checkerboard,12,4,0.2,0,0.7928174820395278,0.244,22,0.7471477903063714,0.77163038561516,0.7824939146668358
fcmpm_cb_g4_grid12_neg0.20,fcm_pm,checkerboard,12,4,0.2,1,0.7376530426844506,0.334,24,0.6607238775859233,0.6972255992819796,0.7104853685124027
fcmpm_cb_g4_grid12_neg0.20,fcm_pm,checkerboard,12,4,0.2,2,0.7436930245783352,0.217,23,0.7201767223480098,0.7290884225038391,0.7348388125183063
fcmpm_cb_g4_grid16_neg0.05,fcm_pm,checkerboard,16,4,0.05,0,0.7292246113254482,0.013,25,0.7272431765193209,0.7413191491916741,0.7452097476131366
fcmpm_cb_g4_grid16_neg0.05,fcm_pm,checkerboard,16,4,0.05,1,0.6730018345238383,0.017,24,0.6574863757524081,0.6936798082046628,0.706974269658887
fcmpm_cb_g4_grid16_neg0.05,fcm_pm,checkerboard,16,4,0.05,2,0.6641829710896682,0.001,23,0.6933264270473741,0.7160051287158522,0.7253475441641782
fcmpm_cb_g4_grid16_neg0.10,fcm_pm,checkerboard,16,4,0.1,0,0.7329742642300329,0.226,23,0.6282707631520751,0.678913592818796,0.6977314725840439
fcmpm_cb_g4_grid16_neg0.10,fcm_pm,checkerboard,16,4,0.1,1,0.7098235725353995,0.029,24,0.6909633178440348,0.7202755065300174,0.734345167871949
