dataset,regime,arm,matched,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob
kmnist,superposition,oracle,overlay,0,0.5507,0.648,0.0631,0.0,0.4884,0.1072
kmnist,superposition,oracle,overlay,1,0.5713,0.6648,0.0658,1.0,0.5206,0.1083
kmnist,superposition,oracle,overlay,2,0.5478,0.6452,0.0587,0.0,0.4757,0.1147
emnist_letters,partition,overlay,partition,0,0.3279,0.6105,0.0032,0.0,0.2313,0.0053
emnist_letters,partition,overlay,partition,1,0.3886,0.632,0.0046,0.0,0.2809,0.007
emnist_letters,partition,overlay,partition,2,0.323,0.6073,0.0035,0.0,0.2363,0.0069
emnist_letters,partition,partition,partition,0,0.621,0.6993,0.0227,0.0,0.5635,0.0358
emnist_letters,partition,partition,partition,1,0.624,0.6978,0.0206,0.0,0.5719,0.032
emnist_letters,partition,partition,partition,2,0.5989,0.6944,0.0178,0.0,0.5335,0.0312
emnist_letters,partition,cutmix,partition,0,0.554,0.6414,0.0149,0.0,0.4675,0.0348
emnist_letters,partition,cutmix,partition,1,0.5541,0.6359,0.0156,0.0,0.4726,0.0336
emnist_letters,partition,cutmix,partition,2,0.5398,0.6349,0.0152,0.0,0.4544,0.0336
emnist_letters,partition,mixup,partition,0,0.4674,0.6788,0.011,1.0,0.3787,0.0137
emnist_letters,partition,mixup,partition,1,0.5517,0.7049,0.0111,1.0,0.4519,0.0133
emnist_letters,partition,mixup,partition,2,0.498,0.6756,0.0096,1.0,0.3904,0.0129
emnist_letters,partition,single_only,partition,0,0.3336,0.5458,0.0068,1.0,0.2357,0.0098
emnist_letters,partition,single_only,partition,1,0.3391,0.5843,0.0058,0.0,0.2348,0.0074
emnist_letters,partition,single_only,partition,2,0.2836,0.5223,0.0052,1.0,0.1935,0.0081
emnist_letters,partition,oracle,partition,0,0.6353,0.7195,0.0199,0.0,0.5724,0.0325
emnist_letters,partition,oracle,partition,1,0.6098,0.6901,0.0224,0.0,0.5713,0.0354
emnist_letters,partition,oracle,partition,2,0.5907,0.6838,0.0208,0.0,0.5373,0.0355
emnist_letters,superposition,overlay,overlay,0,0.4012,0.4914,0.0145,0.0,0.3474,0.0461
emnist_letters,superposition,overlay,overlay,1,0.4269,0.5122,0.0164,1.0,0.3679,0.0409
emnist_letters,superposition,overlay,overlay,2,0.3855,0.4994,0.0136,0.0,0.3463,0.0457
emnist_letters,superposition,partition,overlay,0,0.2107,0.3897,0.021,0.0,0.1856,0.0282
emnist_letters,superposition,partition,overlay,1,0.2345,0.3909,0.0159,0.0,0.1965,0.0223
emnist_letters,superposition,partition,overlay,2,0.2399,0.4082,0.0121,0.0,0.1897,0.0192
emnist_letters,superposition,cutmix,overlay,0,0.2336,0.3713,0.0158,0.0,0.2044,0.0326
emnist_letters,superposition,cutmix,overlay,1,0.2692,0.3862,0.013,0.0,0.2259,0.0294
emnist_letters,superposition,cutmix,overlay,2,0.2364,0.3982,0.0159,0.0,0.2153,0.0343
emnist_letters,superposition,mixup,overlay,0,0.2701,0.4105,0.0143,1.0,0.221,0.0218
emnist_letters,superposition,mixup,overlay,1,0.3317,0.4453,0.0204,1.0,0.2835,0.0273
emnist_letters,superposition,mixup,overlay,2,0.3239,0.4475,0.0163,1.0,0.2594,0.0252
emnist_letters,superposition,single_only,overlay,0,0.2045,0.3679,0.0156,1.0,0.1703,0.0233
emnist_letters,superposition,single_only,overlay,1,0.2225,0.3915,0.0139,0.0,0.1759,0.0184
emnist_letters,superposition,single_only,overlay,2,0.1847,0.3506,0.0198,0.0,0.17,0.0284
emnist_letters,superposition,oracle,overlay,0,0.4003,0.4926,0.0147,0.0,0.3483,0.0446
emnist_letters,superposition,oracle,overlay,1,0.4215,0.5123,0.0161,0.0,0.3719,0.043
emnist_letters,superposition,oracle,overlay,2,0.3864,0.4924,0.015,0.0,0.3489,0.0479
