run_tag,backbone_name,timm_name,family,params_M,img_size,train_time_min,n_train,n_val,best_epoch,best_val_acc,ls,cutmix_p,cell_id,macro_f1,top1_11,bF1_4def,ni_far_pct,ood_far_pct,total_far_pct,status,eval_path
iter99B_swin_v1_b_ep10_bf6,Swin-B-384,swin_base_patch4_window12_384.ms_in22k_ft_in1k,Swin V1,88.0,384,6.27,651,163,6,0.9816,0.2,0.25,T0__I3,0.803,0.4883,0.803,100.0,100.0,100.0,DONE,outputs/iter99B_swin_v1_b/T7_iter99B_swin_v1_b_260512_192632/eval_v15direct_n200/stage1_260512_193255
iter99B_swin_v1_b_ep10_bf6,Swin-B-384,swin_base_patch4_window12_384.ms_in22k_ft_in1k,Swin V1,88.0,384,6.27,651,163,6,0.9816,0.2,0.25,T0__I7,0.7765,0.4156,0.7765,100.0,100.0,100.0,DONE,outputs/iter99B_swin_v1_b/T7_iter99B_swin_v1_b_260512_192632/eval_v15direct_n200/stage1_260512_193255
iter99B_swin_v1_b_ep10_bf6,Swin-B-384,swin_base_patch4_window12_384.ms_in22k_ft_in1k,Swin V1,88.0,384,6.27,651,163,6,0.9816,0.2,0.25,T0__I10,0.7954,0.4675,0.7954,1.0,0.3125,0.4762,DONE,outputs/iter99B_swin_v1_b/T7_iter99B_swin_v1_b_260512_192632/eval_v15direct_n200/stage1_260512_193255
iter99B_swin_v1_b_ep10_bf6,Swin-B-384,swin_base_patch4_window12_384.ms_in22k_ft_in1k,Swin V1,88.0,384,6.27,651,163,6,0.9816,0.2,0.25,T0__I13,0.6841,0.4065,0.6841,0.0,0.0,0.0,DONE,outputs/iter99B_swin_v1_b/T7_iter99B_swin_v1_b_260512_192632/eval_v15direct_n200/stage1_260512_193255
iter99C_dinov3_convx_b_ep10_bf6,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,2.83,651,163,6,0.9816,0.2,0.25,T0__I3,0.7332,0.2971,0.7332,100.0,100.0,100.0,DONE,outputs/iter99C_dinov3_convx_b/T7_iter99C_dinov3_convx_b_260512_193401/eval_v15direct_n200/stage1_260512_193657
iter99C_dinov3_convx_b_ep10_bf6,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,2.83,651,163,6,0.9816,0.2,0.25,T0__I7,0.7328,0.3023,0.7328,100.0,100.0,100.0,DONE,outputs/iter99C_dinov3_convx_b/T7_iter99C_dinov3_convx_b_260512_193401/eval_v15direct_n200/stage1_260512_193657
iter99C_dinov3_convx_b_ep10_bf6,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,2.83,651,163,6,0.9816,0.2,0.25,T0__I10,0.7423,0.3032,0.7423,78.0,89.5312,86.7857,DONE,outputs/iter99C_dinov3_convx_b/T7_iter99C_dinov3_convx_b_260512_193401/eval_v15direct_n200/stage1_260512_193657
iter99C_dinov3_convx_b_ep10_bf6,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,2.83,651,163,6,0.9816,0.2,0.25,T0__I13,0.7155,0.3253,0.7155,43.5,62.6562,58.0952,DONE,outputs/iter99C_dinov3_convx_b/T7_iter99C_dinov3_convx_b_260512_193401/eval_v15direct_n200/stage1_260512_193657
iter99D_hiera_base_ep10_bf6,Hiera-B,hiera_base_224.mae_in1k_ft_in1k,Hiera,51.5,224,2.87,651,163,6,0.9877,0.2,0.25,T0__I3,0.6954,0.2468,0.6954,100.0,100.0,100.0,DONE,outputs/iter99D_hiera_base/T7_iter99D_hiera_base_260512_193721/eval_v15direct_n200/stage1_260512_194019
iter99D_hiera_base_ep10_bf6,Hiera-B,hiera_base_224.mae_in1k_ft_in1k,Hiera,51.5,224,2.87,651,163,6,0.9877,0.2,0.25,T0__I7,0.6637,0.2,0.6637,100.0,100.0,100.0,DONE,outputs/iter99D_hiera_base/T7_iter99D_hiera_base_260512_193721/eval_v15direct_n200/stage1_260512_194019
iter99D_hiera_base_ep10_bf6,Hiera-B,hiera_base_224.mae_in1k_ft_in1k,Hiera,51.5,224,2.87,651,163,6,0.9877,0.2,0.25,T0__I10,0.7039,0.2519,0.7039,0.0,6.25,4.7619,DONE,outputs/iter99D_hiera_base/T7_iter99D_hiera_base_260512_193721/eval_v15direct_n200/stage1_260512_194019
iter99D_hiera_base_ep10_bf6,Hiera-B,hiera_base_224.mae_in1k_ft_in1k,Hiera,51.5,224,2.87,651,163,6,0.9877,0.2,0.25,T0__I13,0.5458,0.2078,0.5458,0.0,5.1562,3.9286,DONE,outputs/iter99D_hiera_base/T7_iter99D_hiera_base_260512_193721/eval_v15direct_n200/stage1_260512_194019
iter99E_convnextv2_lr5e5_ep10_bf6,ConvNeXtV2-B-384,convnextv2_base.fcmae_ft_in22k_in1k_384,ConvNeXt V2,88.0,384,7.61,651,163,8,0.9877,0.2,0.25,T0__I3,0.7767,0.5049,0.7767,100.0,100.0,100.0,DONE,outputs/iter99E_convnextv2_lr5e5/T7_iter99E_convnextv2_lr5e5_260512_194042/eval_v15direct_n200/stage1_260512_194826
iter99E_convnextv2_lr5e5_ep10_bf6,ConvNeXtV2-B-384,convnextv2_base.fcmae_ft_in22k_in1k_384,ConvNeXt V2,88.0,384,7.61,651,163,8,0.9877,0.2,0.25,T0__I7,0.7801,0.5104,0.7801,100.0,100.0,100.0,DONE,outputs/iter99E_convnextv2_lr5e5/T7_iter99E_convnextv2_lr5e5_260512_194042/eval_v15direct_n200/stage1_260512_194826
iter99E_convnextv2_lr5e5_ep10_bf6,ConvNeXtV2-B-384,convnextv2_base.fcmae_ft_in22k_in1k_384,ConvNeXt V2,88.0,384,7.61,651,163,8,0.9877,0.2,0.25,T0__I10,0.8282,0.5416,0.8282,32.0,4.2188,10.8333,DONE,outputs/iter99E_convnextv2_lr5e5/T7_iter99E_convnextv2_lr5e5_260512_194042/eval_v15direct_n200/stage1_260512_194826
iter99E_convnextv2_lr5e5_ep10_bf6,ConvNeXtV2-B-384,convnextv2_base.fcmae_ft_in22k_in1k_384,ConvNeXt V2,88.0,384,7.61,651,163,8,0.9877,0.2,0.25,T0__I13,0.7608,0.5328,0.7608,0.5,2.1875,1.7857,DONE,outputs/iter99E_convnextv2_lr5e5/T7_iter99E_convnextv2_lr5e5_260512_194042/eval_v15direct_n200/stage1_260512_194826
