chain,iter,tag,variant,bit_F1,ni_far_pct,ood_far_pct,total_far_pct,seed,LS,source
fcm_margin,8,fcm_margin_g3_cls07_ls30_nopair_best,I10,0.9953,0.0460,0.3656,0.1235,42,0.30,outputs/fcm_margin_g3_cls07_ls30_nopair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,8,fcm_margin_g3_cls07_ls30_nopair_final,I10,0.9953,0.0460,0.3656,0.1235,42,0.30,outputs/fcm_margin_g3_cls07_ls30_nopair/20260521_*/eval_n2000_margin_final/bit_far_metrics.json
fcm_margin,9,fcm_margin_g4_cls05_ls30_pair_best,I10,0.9620,0.1520,0.7625,0.3000,42,0.30,outputs/fcm_margin_g4_cls05_ls30_pair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,9,fcm_margin_g4_cls05_ls30_pair_final,I10,0.9718,0.0030,0.0141,0.0057,42,0.30,outputs/fcm_margin_g4_cls05_ls30_pair/20260521_*/eval_n2000_margin_final/bit_far_metrics.json
fcm_margin,10,fcm_margin_g4_cls05_ls30_nopair_best,I10,0.9923,0.1150,0.0203,0.0920,42,0.30,outputs/fcm_margin_g4_cls05_ls30_nopair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,10,fcm_margin_g4_cls05_ls30_nopair_final,I10,0.9920,0.0455,0.2516,0.0955,42,0.30,outputs/fcm_margin_g4_cls05_ls30_nopair/20260521_*/eval_n2000_margin_final/bit_far_metrics.json
iter116J_nopair_val,1,iter116J_nopair_10ep_s1_best,I3,0.8816,100.00,100.00,100.00,1,0.30,outputs/iter116J_nopair_validation/20260522_135641_T7_iter116J_nopair_10ep_s1/eval_n2000_best/eval_260522_142722/preds_chip.parquet
iter116J_nopair_val,1,iter116J_nopair_10ep_s1_best,I7,0.8813,100.00,100.00,100.00,1,0.30,outputs/iter116J_nopair_validation/20260522_135641_T7_iter116J_nopair_10ep_s1/eval_n2000_best/eval_260522_142722/preds_chip.parquet
iter116J_nopair_val,1,iter116J_nopair_10ep_s1_best,I10,0.9237,0.50,8.44,2.42,1,0.30,outputs/iter116J_nopair_validation/20260522_135641_T7_iter116J_nopair_10ep_s1/eval_n2000_best/eval_260522_142722/preds_chip.parquet
iter116J_nopair_val,1,iter116J_nopair_10ep_s1_best,I13,0.8394,0.55,8.28,2.42,1,0.30,outputs/iter116J_nopair_validation/20260522_135641_T7_iter116J_nopair_10ep_s1/eval_n2000_best/eval_260522_142722/preds_chip.parquet
iter116J_nopair_val,1,iter116J_nopair_10ep_s1_final,I3,0.8816,100.00,100.00,100.00,1,0.30,outputs/iter116J_nopair_validation/20260522_135641_T7_iter116J_nopair_10ep_s1/eval_n2000_final/eval_260522_142725/preds_chip.parquet
iter116J_nopair_val,1,iter116J_nopair_10ep_s1_final,I7,0.8813,100.00,100.00,100.00,1,0.30,outputs/iter116J_nopair_validation/20260522_135641_T7_iter116J_nopair_10ep_s1/eval_n2000_final/eval_260522_142725/preds_chip.parquet
iter116J_nopair_val,1,iter116J_nopair_10ep_s1_final,I10,0.9237,0.50,8.44,2.42,1,0.30,outputs/iter116J_nopair_validation/20260522_135641_T7_iter116J_nopair_10ep_s1/eval_n2000_final/eval_260522_142725/preds_chip.parquet
iter116J_nopair_val,1,iter116J_nopair_10ep_s1_final,I13,0.8394,0.55,8.28,2.42,1,0.30,outputs/iter116J_nopair_validation/20260522_135641_T7_iter116J_nopair_10ep_s1/eval_n2000_final/eval_260522_142725/preds_chip.parquet
iter116J_exact_repro,1,iter116J_exact_repro_s1_ep8_best,I10,0.9691,0.00,3.75,0.91,1,0.30,outputs/iter116J_exact_repro/20260522_142643_T7_iter116J_exact/eval_sota_i10/eval_260522_151400/preds_chip.parquet
iter116J_exact_repro,12,iter116J_exact_repro_v12_s1_ep8_best,I10,0.9691,0.00,8.13,1.97,1,0.30,outputs/iter116J_exact_repro/20260522_211945_T7_iter116J_exact/eval_sota_i10/eval_260522_213802/preds_chip.parquet
